,name,link,company,salary_min,salary_max,currency,source
132,Инвестиционный аналитик,https://hh.ru/vacancy/38410715?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ТрансЛом,,,,hh.ru
133,Аналитик трафика,https://hh.ru/vacancy/38996151?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Софтвайс,50000,NaN,руб.,hh.ru
134,Аналитик,https://hh.ru/vacancy/38712658?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Диджитал Лайн,100000,NaN,руб.,hh.ru
135,Аналитик бизнес-процессов,https://hh.ru/vacancy/37929271?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ИТ-Сворм,80000,NaN,руб.,hh.ru
136,Экономист-аналитик,https://hh.ru/vacancy/39062727?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," СКОВОРОДКА, Сеть блинных",,,,hh.ru
137,Аналитик (SQL),https://hh.ru/vacancy/39123855?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ivi,NaN,NaN,NaN,hh.ru
138,Стажер-аналитик,https://hh.ru/vacancy/39101730?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, IBS,NaN,NaN,NaN,hh.ru
139,Маркетолог-аналитик,https://hh.ru/vacancy/38853899?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ПАО Атолл Холдинг,20000,NaN,грн.,hh.ru
140,HR- аналитик,https://hh.ru/vacancy/39010760?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО 1СЕО,100000,130000,руб.,hh.ru
141,Аналитик хоккейных матчей,https://hh.ru/vacancy/38539736?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО InStat,NaN,NaN,NaN,hh.ru
142,Младший аналитик,https://hh.ru/vacancy/38987220?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Petshopru,40000,NaN,руб.,hh.ru
143,Аналитик,https://hh.ru/vacancy/38870675?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ИнЭкс,,,,hh.ru
144,Аналитик,https://hh.ru/vacancy/39090558?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Лига Цифровой Экономики,NaN,NaN,NaN,hh.ru
145,Аналитик данных,https://hh.ru/vacancy/37638698?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Ресурсный центр Департамента здравоохранения города Москвы,,,,hh.ru
146,Бизнес-аналитик,https://hh.ru/vacancy/39107895?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Концессии Водоснабжения - Саратов,38500,NaN,руб.,hh.ru
147,Финансовый аналитик,https://hh.ru/vacancy/35629389?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ВилайнТв,,,,hh.ru
148,Финансовый аналитик,https://hh.ru/vacancy/39092572?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Люмэкс,NaN,NaN,NaN,hh.ru
149,Аналитик,https://hh.ru/vacancy/38687267?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Доверенная среда,140000,NaN,руб.,hh.ru
